short_name	year	google_scholar_link	paper_type_and_pdf_status	downloaded
Abuah 2026 capacity arctic fjord	2026	https://scholar.google.com/scholar?q=%22Capacity%20of%20Arctic%20fjord%20sediments%20to%20degrade%20carbohydrates%20from%20permafrost%20active%20layer%22	published paper or paper-like record inferred from local PDF; PDF yes: 2026_Abuah_et_al_Micro_Spectrum.pdf	TRUE
Cramm 2026 seasonal thawing high	2026	https://scholar.google.com/scholar?q=%22Seasonal%20thawing%20of%20high%20Arctic%20soils%20triggers%20selective%20microbial%20growth%20and%20predation%22	published paper or paper-like record inferred from local PDF; PDF yes: 2026_Cramm_et_al.pdf	TRUE
Sänger 2026 tracing evolution alkaline	2026	https://scholar.google.com/scholar?q=%22Tracing%20the%20evolution%20of%20microbial%20alkaline%20phosphatases%20and%20their%20role%20in%20phosphorus%20recycling%20through%20time%22	preprint or unpublished paper-like record; PDF no	FALSE
Howland 2025 denitrification coupled methanol	2025	https://scholar.google.com/scholar?q=%22Potential%20for%20microbial%20denitrification%20coupled%20with%20methanol%20oxidation%20found%20in%20abundant%20MAGs%20in%20Antarctic%20Peninsula%20sediments%22	published paper; PDF yes: 2025_Howland_antarctic.pdf	TRUE
Lloyd 2025 defining ultra slow	2025	https://scholar.google.com/scholar?q=%22Defining%20ultra-slow-growing%20extremophilic%20microorganisms%20as%20aeonophiles%22	published paper; PDF yes: 2025_Lloyd_Steen_aeonophiles.pdf	TRUE
Oduwole 2025 functional genomic signatures	2025	https://scholar.google.com/scholar?q=%22Functional%20genomic%20signatures%20predict%20microbial%20culturability%20across%20the%20tree%20of%20life%22	preprint or unpublished paper-like record; PDF no	FALSE
Oduwole 2025 thermophilic traits correlate	2025	https://scholar.google.com/scholar?q=%22Thermophilic%20traits%20correlate%20with%20slow%20growth%20in%20permafrost%20soils%22	preprint or unpublished paper-like record; PDF no	FALSE
Oduwole 2025 transformer based prediction	2025	https://scholar.google.com/scholar?q=%22Transformer-based%20Prediction%20of%20Microbial%20Growth%20Rates%20from%20Genomic%20Data%22	published paper; PDF no	FALSE
Perez 2025 surface charge distributions	2025	https://scholar.google.com/scholar?q=%22Surface%20Charge%20Distributions%20of%20Predicted%20Soil%20Extracellular%20Enzymes%20Influence%20Mineral%20Adsorption%20and%20Enzyme%20Flexibility%22	preprint or unpublished paper-like record; PDF no	FALSE
Sheik 2025 subsurface pressing societal	2025	https://scholar.google.com/scholar?q=%22Subsurface%20microbiology%20and%20the%20pressing%20societal%20need%20to%20support%20future%20exploration%22	published paper; PDF yes: 2026_Sheikh_perspective.pdf	TRUE
